"ID","FORMULA","NAME","MW(g/mol)","TB(K)","Tc(K)","Pc(bar)","Vc(cm3/mol)","RHOC(g/cm3)","Zc","OMEGA","Dipole Moment","molecular volume","atom","Optimum_Chemical_Potential_Max","atom1","Optimum_Chemical_Potential_Min","atom2","Theta_Inverse_Max","atom3","Theta_Inverse_Min","atom4","Intensive_Atomic_softness_Max","atom5","Intensive_Atomic_Hypersoftness_Max","atom6","Intensive_Heat_Capacity_Max","atom7","Intensive_Entropy_Max","atom8","ODD_at_HOMO_Max","atom9","OAD_at_HOMO_Max","atom10","ODD_at_LUMO_Max","atom11","OAD_at_LUMO_Max","atom12","electrophilicity_intensive_MAX","atom13","thermophilicity_intensive_MAX"
"DJ1366","CH4N2S","THIOUREA",76.122,536,854,82.3,248,0.3069,0.287,0.359,5.3289,853.233642,"S8",-18.532,"H5",-887.071,"H4",147.02,"S8",6.29,"S8",0.10627,"S8",0.01221,"H5",36.524,"H5",1033.007,"N1",17.656,"S8",-16.22,"N1",17.54,"S8",-16.375,"C3",13.706,"S8",0.847
"DJ1564","SO3","SULFUR TRIOXIDE",80.064,317.9,490.85,82.07,127.1,0.63,0.256,0.422,0.0005,562.5548354,"S1",-34.035,"O2",-216.233,"O2",71.97,"S1",11.52,"S1",0.0608,"S1",0.00396,"O2",8.239,"O2",282.383,"O2",24.11,"S1",-29.864,"O2",23.927,"S1",-30.057,"O2",7.135,"S1",0.162
"DJ37","CH4O","METHANOL",32.042,337.85,512.58,80.96,117.8,0.272,0.224,0.566,1.9587,467.4014625,"O5",-15.129,"H6",-118.801,"H3",21.85,"O5",5.53,"O5",0.12349,"O5",0.01768,"H6",32.255,"H6",138.767,"C1",2.656,"O5",-12.737,"C1",2.495,"O5",-12.959,"H6",6.496,"C1",5.071
"DJ28","CH3Br","METHYL BROMIDE",94.939,276.71,467,80,156,0.6086,0.321,0.192,2.0869,639.687416,"Br5",-3.966,"H4",-7615.104,"H2",1449.44,"Br5",2.03,"Br5",0.15504,"Br5",0.04168,"H2",27.468,"H4",9067.722,"C1",283.005,"Br5",-2.434,"C1",282.858,"Br5",-2.738,"C1",8.348,"H2",1.04
"DJ1420","FeCI3","FERRIC CHLORIDE",162.205,592.15,964.41,79.53,302.5,0.5362,0.3,0.292,0.2698,1061.199586,"Fe2",-191.198,"Cl3",-479.715,"Cl1",171.05,"Fe2",76.13,"Fe2",0.01075,"Fe2",0.00011,"Cl3",6.963,"Cl1",632.115,"Cl1",65.017,"Fe2",-156.325,"Cl1",64.896,"Fe2",-156.465,"Cl3",26.509,"Fe2",0.799
"DJ1578","SeO2","SELENIUM DIOXIDE",110.959,590.15,961.16,79.26,302.5,0.3668,0.3,0.291,2.9437,555.2842752,"Se1",-16.066,"O2",-2579.193,"O2",867.26,"Se1",8.45,"Se1",0.05944,"Se1",0.00468,"O2",8.388,"O2",3460.342,"O2",294.202,"Se1",-10.404,"O2",294.052,"Se1",-10.643,"O2",8.733,"Se1",0.675
"DJ1374","CS2","CARBON DISULFIDE",76.143,319.37,552,79.03,160,0.4759,0.276,0.108,0,728.7575774,"S2",-115.126,"C1",-515.173,"C1",166.95,"S2",48.29,"S2",0.01681,"S2",0.00026,"C1",8.969,"C1",680.749,"C1",52.641,"S2",-91.215,"C1",52.492,"S2",-91.429,"C1",12.829,"S2",13.421
"DJ47","CS2","CARBON DISULFIDE",76.143,319.37,552,79.03,160,0.4759,0.276,0.108,0,728.7575774,"S2",-115.126,"C1",-515.173,"C1",166.95,"S2",48.29,"S2",0.01681,"S2",0.00026,"C1",8.969,"C1",680.749,"C1",52.641,"S2",-91.215,"C1",52.492,"S2",-91.429,"C1",12.829,"S2",13.421
"DJ1385","CIF","CHLORINE MONOFLUORIDE",54.451,172.65,282.32,79.01,81.4,0.669,0.274,0.276,1.162,414.0578059,"Cl1",-16.761,"F2",-238.127,"F2",102.65,"Cl1",9.25,"Cl1",0.06681,"Cl1",0.00451,"F2",4.691,"F2",336.345,"F2",52.522,"Cl1",-10.332,"F2",52.284,"Cl1",-10.612,"F2",5.954,"Cl1",0.663
"DJ1369","CNF","CYANOGEN FLUORIDE",45.016,227.17,368.51,79,106.3,0.4236,0.274,0.303,2.2301,417.5349073,"F1",-24.959,"C3",-49.895,"C3",14.44,"F1",9.34,"F1",0.07839,"F1",0.00622,"C3",9.441,"C3",56.829,"N2",5.701,"F1",-20.85,"N2",5.442,"F1",-21.126,"C3",7.83,"F1",1.526
